NAME,SKU,CATEGORY,PRICE,BRAND,DESCRIPTION
"` 3,",800,SANITARYWARE,3800,Price,Extracted from Price List 2026.pdf
"Per Piece ` 1,",425,ACCESSORIES,1425,Price,Extracted from Price List 2026.pdf
Product KB2911016-RG,KB2911016-RG,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911005-RG,KB2911005-RG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911004-RG,KB2911004-RG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911003-RG,KB2911003-RG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"` 2,",650,SANITARYWARE,2650,Price,Extracted from Price List 2026.pdf
Product KB2911023-CG,KB2911023-CG,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911001-CG,KB2911001-CG,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911002-CG,KB2911002-CG,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911016-CG,KB2911016-CG,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911005-CG,KB2911005-CG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911004-CG,KB2911004-CG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911003-CG,KB2911003-CG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911023-GM,KB2911023-GM,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
